Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
40,0.1795,0.4184,0.3513,0.5303,0.5059,0.4503,0.8156,0.9938,0.8394,0.4023,0.5839,0.5946,0.3342,0.6557,0.4561,0.8402,0.804,0.8041,0.4419,0.5611,0.5051,0.52,0.4559,0.7476,0.5495,0.4986,0.5115,0.3044,0.5061,0.3567,0.3296,0.4039,0.2668,0.3758,0.2042,0.318,0.1713,0.2051,0.4731,0.4517,0.5655,0.444,0.2826,0.4327,0.2086,0.3707,0.4749,0.3561,0.4307,0.4167,0.6086,0.4061,0.5338,0.6673,0.7592,0.7554,0.7559,0.7907,0.7375,0.7069,0.8292,0.8123,0.9002,0.786,0.7108,0.6666,0.6357,0.7279,0.827,0.8678,0.4666,0.5254,0.7081,0.771,0.8102,0.7697,0.7139,0.9025,0.7652,0.8678,0.7115,0.7859,0.8407,0.6844,0.9075,0.7442,0.7245,0.6534,0.6215,0.5963,0.6786,0.5944,0.923,0.675,0.9401,0.5731,0.7065,0.7344,0.7232,0.7949,0.6583,0.9528
44,0.3657,0.6607,0.5597,0.8333,0.7695,0.7127,1.126,1.4172,1.154,0.6191,0.8875,0.8798,0.522,0.9728,0.6645,1.1564,1.0989,1.118,0.7323,0.9071,0.7626,0.8432,0.7402,1.293,0.8041,0.7691,0.7874,0.4877,0.7498,0.587,0.5369,0.6586,0.4755,0.6257,0.3928,0.5194,0.3681,0.3485,0.7482,0.701,0.8735,0.711,0.4698,0.6876,0.3781,0.5842,0.7304,0.572,0.6752,0.6521,0.9279,0.6238,0.7649,0.9851,1.0581,1.0178,1.0428,1.0625,0.9775,0.9544,1.158,1.1308,1.2304,1.0585,0.9745,0.9111,0.8991,0.9971,1.131,1.1452,0.6859,0.7345,0.962,1.0417,1.1112,1.0116,0.9896,1.1814,1.0262,1.1827,0.9773,1.0891,1.1446,0.9409,1.2365,1.0407,0.9886,0.9322,0.873,0.8608,0.9717,0.8081,1.2248,0.9252,1.2715,0.809,0.9913,1.0434,0.994,1.1028,0.9525,1.3015
48,0.6227,0.9926,0.8083,1.2072,1.0983,1.049,1.5675,1.775,1.5046,0.899,1.2622,1.2234,0.7484,1.3963,0.945,1.552,1.484,1.5058,0.9825,1.3366,1.0902,1.243,1.1072,1.717,1.2441,1.1261,1.1355,0.7285,1.0753,0.8846,0.8141,0.9477,0.7208,0.975,0.6484,0.7906,0.6455,0.5466,1.1312,1.0167,1.2144,1.0113,0.7208,1.0176,0.6107,0.8605,1.0253,0.8494,0.9736,0.977,1.3092,0.9038,1.0674,1.3779,1.3727,1.357,1.3654,1.4132,1.3022,1.249,1.5082,1.4726,1.6237,1.403,1.2696,1.2186,1.2668,1.3442,1.4657,1.52,0.9763,1.0033,1.2626,1.4321,1.472,1.3347,1.3168,1.5482,1.4002,1.5866,1.3039,1.4354,1.5039,1.2474,1.6006,1.412,1.2771,1.2476,1.2011,1.1695,1.3036,1.0814,1.6538,1.245,1.6362,1.0747,1.313,1.3269,1.3121,1.474,1.243,1.7015
52,0.9546,1.358,1.1379,1.6725,1.4933,1.4738,1.9594,2.2438,1.9191,1.2495,1.7243,1.6155,1.0696,1.8511,1.2814,2.029,1.9027,1.8961,1.3544,1.8527,1.5525,1.7515,1.5808,2.3181,1.6578,1.5485,1.5882,1.0324,1.4861,1.2676,1.1679,1.3264,1.0418,1.359,0.9914,1.1356,1.0522,0.8217,1.5486,1.4087,1.6461,1.4066,1.0448,1.4362,0.9255,1.2278,1.4015,1.1901,1.3447,1.3377,1.8471,1.2724,1.4288,1.8488,1.7743,1.7685,1.7746,1.8359,1.6855,1.651,1.963,1.9121,2.1001,1.8433,1.6694,1.5597,1.6122,1.7599,1.8938,1.9944,1.3088,1.3201,1.6662,1.7926,1.8959,1.8198,1.7061,2.0006,1.7391,1.9794,1.6939,1.911,1.9328,1.6194,2.0584,1.8565,1.6345,1.5918,1.5443,1.5162,1.6694,1.4046,2.0367,1.6524,2.1254,1.3881,1.6957,1.7289,1.7091,1.917,1.6052,2.2146
56,1.3631,1.8252,1.5292,2.1426,1.9489,1.9828,2.5332,2.8444,2.3824,1.6659,2.324,2.0385,1.41,2.4153,1.6716,2.5371,2.3396,2.3292,1.8403,2.4385,1.9198,2.3062,1.9678,2.9348,2.1947,1.9714,2.086,1.3981,1.903,1.7313,1.5944,1.7796,1.4563,1.8515,1.3569,1.5566,1.4422,1.1148,2.0702,1.8728,2.1492,1.9029,1.4428,1.9413,1.2764,1.6412,1.8064,1.6176,1.7529,1.7963,2.3997,1.6548,1.8439,2.4282,2.2683,2.2856,2.2533,2.3379,2.1626,2.0704,2.4934,2.4311,2.7291,2.2906,2.0835,1.9239,2.0686,2.2411,2.4182,2.4683,1.6802,1.7192,2.1107,2.259,2.3508,2.1508,2.1585,2.5918,2.1808,2.5396,2.1886,2.4064,2.4258,2.0833,2.6273,2.4241,2.0693,2.0675,1.9686,1.9558,2.115,1.7695,2.555,2.0733,2.6231,1.7183,2.1066,2.1315,2.1431,2.4216,2.019,2.8117
60,1.8541,2.4027,2.0079,2.7003,2.5019,2.5785,3.0657,3.5148,2.8982,2.143,2.7814,2.6391,1.8308,3.1056,2.1107,3.0488,2.9153,2.8937,2.1931,3.1551,2.4705,3.0325,2.4899,3.646,2.7866,2.5564,2.613,1.8511,2.4286,2.3018,2.0885,2.3394,1.8788,2.4218,1.8138,2.0396,1.9629,1.5483,2.7432,2.4778,2.7213,2.435,1.9351,2.6903,1.7093,2.1152,2.2977,2.0794,2.2519,2.3235,3.0646,2.1473,2.3063,2.9985,2.7632,2.8868,2.8361,2.9523,2.64,2.582,3.1885,3.0264,3.2875,2.8978,2.5903,2.3601,2.5922,2.8703,2.9436,3.0702,2.1717,2.1202,2.5842,2.8152,2.9308,2.6369,2.7054,3.1023,2.7467,3.185,2.7224,3.0081,3.05,2.5507,3.2347,3.0015,2.5335,2.4801,2.5134,2.4926,2.6129,2.2931,3.0902,2.6468,3.3704,2.1138,2.6042,2.6116,2.5995,3.0654,2.4514,3.437
64,2.4621,3.034,2.5204,3.3449,3.0876,3.2983,3.6348,4.2191,3.4487,2.7518,3.3768,3.0858,2.3669,3.8638,2.6291,3.6313,3.4297,3.3986,2.6775,3.7361,2.9319,3.5201,3.1343,4.3399,3.5718,2.9503,3.3023,2.2914,2.9391,2.8637,2.6352,2.8856,2.3868,3.1334,2.3385,2.5849,2.6746,1.8774,3.4681,3.0066,3.478,2.9877,2.4567,3.3522,2.2084,2.6455,2.8387,2.5554,2.8801,2.9618,3.8996,2.6635,2.8585,3.8115,3.4976,3.4388,3.4883,3.597,3.1974,3.1448,3.8166,3.6448,3.9864,3.4579,3.2293,2.9081,3.2473,3.4883,3.595,3.6534,2.6975,2.5991,3.1435,3.3953,3.5327,3.2138,3.2388,3.6813,3.27,3.8178,3.2756,3.7192,3.5815,3.1384,3.8557,3.6771,3.0075,2.9649,3.0121,3.1723,3.1969,2.6367,3.7339,3.1687,3.901,2.5482,3.1534,3.2145,3.2368,3.6919,2.9573,4.2252
68,3.0687,3.5769,3.0479,4.0152,3.8085,4.184,4.3633,4.8616,4.1516,3.3021,4.0497,3.7043,2.8286,4.6322,3.1277,4.3017,4.0336,4.0315,3.1418,4.3707,3.5816,4.2266,3.7575,4.8929,4.115,3.6556,4.0086,2.8108,3.5847,3.6147,3.2271,3.6039,2.9417,3.8277,2.9244,3.1793,3.2781,2.3277,4.0596,3.74,4.1608,3.5772,3.0257,3.9932,2.7943,3.2728,3.4981,3.2048,3.4712,3.7189,4.5635,3.177,3.3789,4.4337,4.0079,4.2889,4.1693,4.3324,3.8761,3.7951,4.5912,4.5229,4.8941,4.0643,3.7839,3.4125,3.9247,4.1036,4.3376,4.3268,3.2428,3.1233,3.7953,4.0495,4.2473,3.8419,3.9428,4.4213,3.8446,4.6427,3.9241,4.5407,4.3824,3.7092,4.5636,4.4838,3.6409,3.5935,3.5392,3.6404,3.8826,3.1675,4.2853,3.8042,4.6087,3.0818,3.7558,3.7631,3.7127,4.4233,3.502,4.9778
72,3.9257,4.3141,3.7226,4.6928,4.3317,4.8609,5.0338,5.4479,4.802,3.9949,4.7355,4.4278,3.404,5.1965,3.8314,4.9566,4.6626,4.5167,3.6939,4.8975,4.1596,4.8605,4.2915,5.282,4.7519,4.2027,4.577,3.4931,4.2189,4.2267,3.9603,4.1928,3.6783,4.502,3.5581,3.7982,3.9768,2.8138,4.6251,4.4697,4.7038,4.2914,3.7146,4.4862,3.4742,3.8499,4.153,3.7942,4.1163,4.2655,4.9988,3.728,4.0602,4.9535,4.7413,4.9477,4.788,5.0917,4.5229,4.3813,5.2438,5.1905,5.547,4.8954,4.5344,3.9545,4.4844,4.8129,5.0191,5.153,4.0241,3.6949,4.4201,4.753,4.8466,4.5212,4.6551,5.0866,4.6298,5.2059,4.7401,5.1567,4.9967,4.4372,5.4596,5.2709,4.2069,4.1549,4.173,4.4286,4.4189,3.6977,4.7468,4.4733,5.2982,3.5848,4.4847,4.4625,4.3624,5.0063,4.1532,5.465
76,4.5558,4.7988,4.3435,5.1834,5.0931,5.3735,5.7538,5.9636,5.3774,4.584,5.3657,5.0459,4.163,5.6082,4.36,5.4545,5.1351,5.022,4.2831,5.3356,4.658,5.3009,4.8222,5.6197,5.2247,4.8218,5.0255,4.0274,4.6905,4.704,4.4686,4.7692,4.2053,5.0591,4.331,4.5373,4.5418,3.3678,5.1253,5.0437,5.2477,4.9301,4.2263,4.8175,4.0011,4.2907,4.6351,4.288,4.6142,4.6414,5.2934,4.3771,4.6316,5.35,5.2564,5.4656,5.3621,5.6958,5.1255,5.0593,5.8479,5.7424,6.0732,5.4844,5.28,4.5587,4.9268,5.3165,5.4908,5.6636,4.6252,4.3865,5.2802,5.2677,5.3862,5.0342,5.2126,5.7522,5.2004,5.7565,5.3888,5.6533,5.5289,5.1506,6.0092,5.8621,4.967,4.8504,4.7384,5.0807,4.948,4.2848,5.2454,5.0069,5.7698,4.1589,5.2208,5.1128,5.0767,5.4807,4.8091,5.8213
