Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
80,5.0724,5.1949,4.9088,5.5826,5.5477,5.7476,6.2418,6.328,5.8576,5.1144,5.8435,5.5846,4.7401,5.9085,4.7884,5.8171,5.5904,5.6046,4.8021,5.7136,5.0862,5.6053,5.2219,5.8262,5.5762,5.3223,5.3746,4.4743,5.0511,5.0841,4.9072,5.2264,4.8174,5.5055,4.9511,5.0494,4.9909,3.9248,5.4844,5.4686,5.6459,5.3742,4.6442,5.0584,4.4397,4.7169,4.9932,4.7567,5.0239,4.9258,5.493,4.8156,5.0906,5.6195,5.6531,5.8518,5.811,6.179,5.6089,5.6155,6.3202,6.1626,6.4835,5.9461,5.8246,5.3322,5.2491,5.6887,5.8115,5.9786,5.1057,5.0736,5.7744,5.6224,5.7676,5.5268,5.6362,6.1845,5.66,6.1933,5.8393,6.0365,5.9727,5.6444,6.3651,6.2835,5.5291,5.302,5.1272,5.513,5.4024,4.7621,5.6158,5.4356,6.0451,4.6577,5.7232,5.6082,5.5458,5.8334,5.3521,6.0793
84,5.4893,5.5108,5.3779,5.8901,5.8806,5.9925,6.5435,6.6177,6.2559,5.4815,6.181,5.9866,5.2064,6.1132,5.1349,6.1183,5.9873,5.9818,5.2058,6.0268,5.4307,5.8605,5.5102,5.9608,5.8823,5.6864,5.6298,4.8716,5.2934,5.3561,5.2529,5.5702,5.31,5.8212,5.4316,5.4626,5.3523,4.4903,5.7042,5.741,5.8776,5.6892,4.9609,5.2328,4.804,5.0522,5.2406,5.1422,5.3503,5.1427,5.6354,5.1647,5.4389,5.7612,5.9565,6.1644,6.1661,6.521,5.9956,6.0363,6.6602,6.4713,6.7524,6.2784,6.2193,5.8604,5.5363,5.9349,6.0096,6.1353,5.4925,5.5348,6.0767,5.8478,6.0181,5.8782,5.9558,6.4513,5.9954,6.4963,6.1596,6.3321,6.2775,5.9875,6.5971,6.5514,5.943,5.6047,5.4394,5.7738,5.6933,5.1202,5.8691,5.7699,6.1671,5.0571,6.0183,5.968,5.8722,6.0506,5.7831,6.2426
88,5.7891,5.7413,5.7472,6.1172,6.0688,6.1402,6.7209,6.8425,6.5451,5.7338,6.3771,6.2892,5.5585,6.2479,5.4112,6.2921,6.2667,6.2408,5.5008,6.2468,5.6574,6.0226,5.6871,6.0323,6.0437,5.957,5.8014,5.1698,5.4456,5.5364,5.5586,5.801,5.6527,6.0202,5.7994,5.7481,5.6172,4.9103,5.8079,5.9106,5.9871,5.8853,5.1823,5.3572,5.0663,5.2927,5.3833,5.4035,5.5907,5.2979,5.734,5.4202,5.6791,5.8417,6.1738,6.3999,6.4037,6.7203,6.2709,6.3512,6.8693,6.6754,6.9132,6.4877,6.5576,6.2681,5.7398,6.0803,6.1488,6.2207,5.7846,5.839,6.2573,6.0322,6.1796,6.1172,6.1848,6.6099,6.2674,6.6642,6.3753,6.5437,6.5119,6.239,6.7373,6.7004,6.2259,5.7819,5.6842,5.9017,5.8927,5.386,6.025,6.0174,6.2285,5.4084,6.1961,6.2052,6.1108,6.1751,6.0839,6.3292
92,5.9586,5.9039,5.979,6.2727,6.1644,6.2338,6.8499,7.0045,6.7589,5.9069,6.4695,6.5014,5.8084,6.3367,5.6073,6.3911,6.4483,6.4404,5.6823,6.4023,5.7741,6.1252,5.7786,6.0762,6.1765,6.2002,5.9122,5.3978,5.5401,5.6465,5.7562,5.9384,5.8607,6.1416,6.043,5.949,5.7886,5.231,5.874,6.022,6.0501,6.001,5.3304,5.4381,5.2382,5.4527,5.5091,5.5643,5.7411,5.4111,5.7999,5.617,5.8258,5.8926,6.3471,6.5655,6.5751,6.8218,6.4577,6.5547,6.9887,6.792,7.0068,6.608,6.7929,6.5647,5.8879,6.1632,6.2234,6.2707,5.9935,6.0217,6.3447,6.1622,6.2819,6.307,6.3481,6.7233,6.4531,6.7554,6.5243,6.6924,6.6555,6.4111,6.8123,6.7957,6.4066,5.8787,5.8533,5.9678,6.0228,5.5929,6.1264,6.191,6.2705,5.6952,6.324,6.3621,6.2808,6.2442,6.254,6.3816
96,6.0486,6.0171,6.0977,6.3704,6.2182,6.2904,6.9598,7.1246,6.8631,6.0323,6.5462,6.6369,5.9781,6.3969,5.7758,6.4536,6.5519,6.5646,5.7944,6.5122,5.8465,6.1999,5.836,6.1177,6.2505,6.3448,5.9794,5.5643,5.5976,5.7301,5.8826,6.0382,5.9812,6.2219,6.1846,6.0729,5.8869,5.5166,5.9119,6.0967,6.0919,6.0763,5.419,5.4816,5.3467,5.5615,5.5796,5.6647,5.8305,5.4978,5.8415,5.7362,5.9178,5.9309,6.4728,6.6705,6.681,6.8798,6.6,6.6745,7.0631,6.8539,7.0607,6.7177,6.9674,6.7817,5.9963,6.23,6.2588,6.3059,6.1394,6.1335,6.3952,6.2536,6.3479,6.4291,6.466,6.7955,6.5721,6.8096,6.6191,6.7983,6.7313,6.5302,6.8631,6.8452,6.5054,5.931,5.9558,6.0101,6.1083,5.7373,6.1946,6.3047,6.3,5.8933,6.407,6.4632,6.4042,6.2838,6.3389,6.413
100,6.102,6.096,6.1657,6.4455,6.2585,6.3298,7.0315,7.2122,6.956,6.1231,6.5813,6.7169,6.1193,6.4333,5.8907,6.4914,6.6136,6.6458,5.8399,6.5732,5.8912,6.2612,5.8747,6.1342,6.2914,6.4576,6.012,5.6743,5.6383,5.7791,5.9659,6.1013,6.0561,6.2717,6.2689,6.1455,5.9423,5.6982,5.9435,6.1564,6.13,6.1273,5.4685,5.5107,5.4179,5.6349,5.6263,5.7244,5.882,5.5593,5.8691,5.8181,5.9732,5.959,6.5578,6.7499,6.7515,6.9163,6.7035,6.7428,7.1132,6.8968,7.0959,6.7858,7.0918,6.9342,6.0741,6.2692,6.2931,6.3318,6.2346,6.2076,6.4342,6.3298,6.3985,6.5083,6.5642,6.8392,6.6758,6.8496,6.6874,6.8684,6.7768,6.6067,6.8952,6.8784,6.5954,5.9664,6.0122,6.0431,6.1718,5.8828,6.245,6.3784,6.3173,6.0334,6.4696,6.5278,6.4879,6.3123,6.3886,6.4378
104,6.1344,6.1488,6.2043,6.4983,6.291,6.3532,7.0841,7.2785,7.028,6.1857,6.6164,6.7729,6.2182,6.4598,5.9751,6.5166,6.657,6.7112,5.8981,6.6216,5.9112,6.3042,5.8965,6.1577,6.3196,6.5301,6.0476,5.7489,5.6681,5.8095,6.0131,6.1435,6.0976,6.304,6.3211,6.2068,5.9801,5.8145,5.965,6.1948,6.1502,6.1693,5.5032,5.535,5.4665,5.6786,5.6525,5.7638,5.9179,5.6075,5.8862,5.8704,6.0129,5.9734,6.6454,6.8063,6.7939,6.9428,6.7665,6.7922,7.1446,6.925,7.1208,6.8305,7.1966,7.061,6.1346,6.2893,6.3167,6.3501,6.2973,6.2594,6.4613,6.3769,6.428,6.5696,6.644,6.8649,6.7223,6.8771,6.7461,6.937,6.8068,6.653,6.9166,6.8995,6.6524,5.994,6.0467,6.067,6.219,5.9835,6.2757,6.4282,6.3364,6.1237,6.5114,6.5778,6.5446,6.3288,6.4249,6.4572
108,6.1638,6.1898,6.237,6.5312,6.3148,6.3773,7.114,7.3261,7.0821,6.2364,6.6323,6.8063,6.2842,6.4812,6.0334,6.5348,6.6829,6.7557,5.9271,6.6654,5.9357,6.3312,5.9126,6.1636,6.3315,6.5925,6.073,5.7987,5.6945,5.8309,6.0569,6.1752,6.131,6.3266,6.3652,6.2403,6.0131,5.8867,5.9796,6.216,6.1681,6.2027,5.5277,5.5511,5.4967,5.7103,5.6813,5.7982,5.9442,5.6406,5.9015,5.9005,6.0381,5.9904,6.6982,6.8404,6.8259,6.9586,6.8013,6.8217,7.1689,6.9451,7.1391,6.8635,7.2786,7.1473,6.1851,6.3125,6.3297,6.3677,6.3315,6.2918,6.4806,6.4064,6.4462,6.615,6.6937,6.8871,6.7635,6.8967,6.7828,6.9787,6.8301,6.6888,6.9355,6.9171,6.6841,6.0172,6.072,6.0852,6.2444,6.0551,6.2993,6.4623,6.3478,6.1924,6.537,6.6182,6.5846,6.3481,6.4503,6.4733
112,6.1864,6.219,6.2655,6.5548,6.3287,6.3934,7.1565,7.3578,7.1146,6.269,6.6508,6.8402,6.3513,6.4967,6.0678,6.5487,6.7002,6.7971,5.9457,6.7028,5.9495,6.3585,5.9307,6.1721,6.3515,6.6325,6.0877,5.8273,5.7111,5.8473,6.0831,6.196,6.1562,6.3456,6.4009,6.2638,6.03,5.9424,5.9944,6.2401,6.1825,6.2271,5.5515,5.5613,5.5211,5.7315,5.6982,5.8194,5.9637,5.6674,5.9178,5.9237,6.0647,6.003,6.7498,6.8633,6.8482,6.9788,6.8255,6.8418,7.1864,6.963,7.1524,6.8852,7.3305,7.2158,6.2291,6.3285,6.3474,6.3804,6.3616,6.32,6.4972,6.4288,6.4651,6.6447,6.7405,6.901,6.7903,6.9118,6.8087,7.0123,6.8502,6.7112,6.9519,6.9318,6.7188,6.0358,6.0903,6.1024,6.27,6.1097,6.3169,6.4896,6.361,6.2365,6.5598,6.6428,6.6179,6.3636,6.472,6.4846
116,6.2005,6.2378,6.2855,6.5759,6.3506,6.4046,7.184,7.3956,7.1435,6.2909,6.6693,6.8613,6.3926,6.5077,6.106,6.5619,6.7192,6.8331,5.9683,6.7333,5.9655,6.3782,5.9359,6.1779,6.361,6.6673,6.1025,5.8527,5.7262,5.8609,6.0991,6.2165,6.177,6.3601,6.4236,6.2811,6.0513,5.9766,6.0105,6.2574,6.1946,6.2488,5.5668,5.5763,5.5404,5.7453,5.7133,5.8364,5.9843,5.6822,5.9274,5.9447,6.0798,6.0121,6.7846,6.8793,6.8648,6.9915,6.846,6.8609,7.2005,6.9764,7.1654,6.904,7.3626,7.2682,6.257,6.3395,6.3575,6.3932,6.3812,6.3449,6.5153,6.4502,6.4768,6.6667,6.7647,6.9157,6.8097,6.9253,6.8264,7.033,6.8631,6.7319,6.9632,6.9428,6.745,6.0497,6.1035,6.1153,6.2857,6.1557,6.3323,6.5052,6.3715,6.2652,6.5791,6.67,6.6431,6.3753,6.4875,6.4917
120,6.2167,6.2531,6.3013,6.588,6.3624,6.4174,7.1992,7.4167,7.1544,6.3125,6.6785,6.8742,6.4246,6.5187,6.1251,6.5691,6.733,6.8655,5.9795,6.7433,5.9675,6.4022,5.9414,6.1824,6.3735,6.6989,6.1158,5.8745,5.74,5.875,6.1186,6.2279,6.1923,6.3727,6.4392,6.2989,6.0649,6.006,6.0211,6.2713,6.2051,6.2623,5.5795,5.5835,5.5541,5.7635,5.7245,5.8534,5.9958,5.6985,5.9365,5.9593,6.0957,6.0202,6.8083,6.8947,6.879,7.0015,6.8603,6.8779,7.211,6.9865,7.1761,6.9186,7.3854,7.3172,6.275,6.3512,6.371,6.4066,6.3976,6.3601,6.5287,6.4653,6.489,6.6876,6.7848,6.9264,6.8255,6.9357,6.8407,7.0512,6.8789,6.7465,6.9725,6.9514,6.7617,6.0636,6.1141,6.1278,6.3007,6.1931,6.345,6.5192,6.3782,6.2886,6.5913,6.6881,6.6597,6.3842,6.504,6.5027
124,6.2301,6.2652,6.3143,6.6,6.375,6.4261,7.2112,7.4431,7.1743,6.329,6.6907,6.8866,6.4495,6.528,6.1476,6.5773,6.7442,6.8974,5.9958,6.7589,5.9836,6.4065,5.9529,6.1856,6.3816,6.7286,6.1258,5.887,5.7529,5.885,6.1334,6.2404,6.2078,6.382,6.4529,6.3113,6.0749,6.0268,6.031,6.2822,6.2151,6.2741,5.5888,5.5923,5.5673,5.7788,5.7376,5.8654,6.0067,5.7097,5.946,5.9755,6.1071,6.0267,6.825,6.9061,6.89,7.0153,6.8745,6.8929,7.2222,6.9967,7.1862,6.9325,7.4055,7.3546,6.2898,6.36,6.3799,6.417,6.4117,6.3745,6.5404,6.4768,6.5025,6.7019,6.8022,6.9353,6.8408,6.9447,6.8533,7.0688,6.8894,6.759,6.9817,6.9611,6.7773,6.0738,6.1257,6.1378,6.3132,6.2189,6.3594,6.5321,6.3889,6.3099,6.6026,6.7007,6.676,6.395,6.5159,6.5118
128,6.2392,6.2762,6.326,6.6112,6.385,6.436,7.2205,7.4569,7.1944,6.3406,6.6983,6.9004,6.4713,6.5386,6.1642,6.5816,6.7532,6.912,6.0071,6.7693,5.9912,6.4155,5.9544,6.192,6.3837,6.745,6.1328,5.9028,5.7622,5.8939,6.1466,6.2517,6.22,6.3925,6.4665,6.3252,6.082,6.0454,6.0413,6.2945,6.225,6.2873,5.5989,5.6006,5.5785,5.791,5.7467,5.8741,6.0163,5.7189,5.9545,5.9869,6.119,6.0354,6.8381,6.9147,6.8999,7.0215,6.8879,6.9043,7.2307,7.0073,7.1934,6.9426,7.4188,7.3882,6.3019,6.3674,6.3869,6.4247,6.4243,6.3887,6.5505,6.4894,6.5125,6.716,6.8137,6.9446,6.8521,6.9521,6.8651,7.0777,6.8998,6.7708,6.991,6.9672,6.7901,6.0859,6.1337,6.1453,6.3218,6.2373,6.3678,6.5422,6.3963,6.3265,6.6143,6.7144,6.6889,6.4031,6.5268,6.5211
132,6.2474,6.2848,6.3373,6.6154,6.3972,6.4436,7.2299,7.4698,7.2002,6.3529,6.7081,6.9137,6.4833,6.5451,6.1799,6.5863,6.7605,6.9298,6.008,6.7803,5.9961,6.4212,5.9594,6.1966,6.3914,6.757,6.143,5.9136,5.7734,5.9009,6.1555,6.2612,6.2295,6.3999,6.4758,6.3344,6.0874,6.0658,6.0504,6.3046,6.233,6.2963,5.608,5.6083,5.5874,5.7997,5.7551,5.8861,6.0257,5.7293,5.9603,5.9995,6.1302,6.0443,6.8525,6.9239,6.9076,7.0288,6.9007,6.9149,7.2382,7.014,7.2016,6.9527,7.4305,7.418,6.3129,6.3747,6.3951,6.4348,6.4347,6.3995,6.5591,6.498,6.5202,6.7276,6.8259,6.9519,6.8604,6.9588,6.8727,7.0862,6.9076,6.7796,6.9983,6.975,6.8006,6.0968,6.1418,6.1534,6.3327,6.2561,6.3779,6.5529,6.4048,6.3441,6.6224,6.726,6.6991,6.4101,6.5395,6.5288
136,6.2575,6.2929,6.3462,6.6229,6.406,6.4508,7.2381,7.4787,7.2154,6.3625,6.722,6.9219,6.498,6.5539,6.1938,6.59,6.7646,6.9411,6.0236,6.7834,6.0008,6.4293,5.9667,6.2013,6.3997,6.7725,6.1496,5.923,5.7825,5.9066,6.1636,6.2692,6.2385,6.4057,6.4841,6.3411,6.0916,6.0791,6.0574,6.3122,6.2446,6.3042,5.6146,5.6154,5.5947,5.8088,5.7638,5.8939,6.033,5.7383,5.9681,6.0086,6.1399,6.0506,6.8645,6.9321,6.9165,7.0356,6.9108,6.9224,7.2451,7.0206,7.2071,6.9612,7.4395,7.4357,6.3209,6.3814,6.4012,6.4413,6.4439,6.407,6.5673,6.5108,6.5295,6.7365,6.835,6.9605,6.871,6.966,6.8807,7.0934,6.9139,6.7865,7.005,6.9788,6.8087,6.1041,6.1479,6.1615,6.3418,6.27,6.3854,6.5597,6.4119,6.3585,6.6335,6.7363,6.7089,6.4168,6.5499,6.5343
140,6.2629,6.2982,6.3537,6.6315,6.4133,6.4576,7.2413,7.4854,7.2139,6.3703,6.7273,6.9261,6.5096,6.5601,6.2053,6.598,6.7709,6.9541,6.0267,6.7876,6.0074,6.4338,5.9696,6.1976,6.4068,6.7806,6.1548,5.9328,5.7897,5.9118,6.172,6.2745,6.2464,6.4125,6.492,6.3493,6.0979,6.0883,6.0634,6.3191,6.2556,6.3106,5.6219,5.6208,5.6031,5.8146,5.7712,5.9021,6.0387,5.7427,5.9733,6.0177,6.1471,6.0588,6.873,6.9387,6.9232,7.0415,6.9203,6.9291,7.252,7.0261,7.214,6.9692,7.4462,7.45,6.3282,6.3863,6.4084,6.4476,6.4508,6.4158,6.5749,6.5177,6.5358,6.7452,6.8437,6.9675,6.8771,6.973,6.8868,7.0995,6.9195,6.7926,7.0106,6.9819,6.8163,6.1135,6.1529,6.1659,6.3468,6.2824,6.3942,6.5669,6.4209,6.3719,6.6395,6.7436,6.7179,6.4236,6.5579,6.5415
144,6.2678,6.3045,6.3595,6.6346,6.4209,6.4616,7.2477,7.4893,7.2222,6.3783,6.7295,6.9346,6.5195,6.5667,6.2144,6.6007,6.7766,6.9612,6.0392,6.7915,6.0138,6.4404,5.9741,6.2017,6.4079,6.7862,6.1609,5.9404,5.7982,5.9172,6.178,6.2831,6.255,6.4177,6.4985,6.3558,6.1009,6.0981,6.0679,6.3271,6.2635,6.3173,5.6283,5.6266,5.6074,5.8221,5.779,5.9079,6.0469,5.7505,5.9767,6.0255,6.154,6.0676,6.8814,6.9447,6.9293,7.0478,6.9315,6.9351,7.2567,7.0331,7.2169,6.9762,7.4531,7.4626,6.3338,6.3918,6.4133,6.454,6.4582,6.4213,6.5813,6.5262,6.5419,6.755,6.8502,6.9725,6.8842,6.9778,6.8933,7.1057,6.9254,6.7993,7.0177,6.984,6.8258,6.1197,6.1566,6.1719,6.3537,6.2913,6.4008,6.5726,6.4275,6.3816,6.645,6.7498,6.7257,6.4292,6.5652,6.5452
148,6.273,6.3088,6.3669,6.6387,6.4273,6.4666,7.2529,7.4939,7.2306,6.3847,6.7329,6.9381,6.5267,6.5713,6.223,6.6054,6.7828,6.9662,6.0461,6.791,6.0132,6.4415,5.9786,6.2082,6.4062,6.7945,6.1659,5.9478,5.8035,5.9217,6.1835,6.2871,6.2596,6.4214,6.504,6.3603,6.1053,6.1073,6.0707,6.3347,6.271,6.3236,5.6323,5.6312,5.6125,5.8284,5.7845,5.9132,6.0514,5.7558,5.9845,6.0335,6.1627,6.0734,6.8897,6.9502,6.9349,7.0527,6.9385,6.9413,7.2607,7.0382,7.2211,6.9831,7.4602,7.4728,6.3408,6.3947,6.4185,6.4591,6.4629,6.4268,6.5865,6.5325,6.5475,6.7615,6.857,6.9772,6.8889,6.9814,6.8985,7.1089,6.9298,6.8043,7.021,6.9889,6.8316,6.1247,6.1592,6.1739,6.3589,6.3,6.4057,6.579,6.433,6.3927,6.6516,6.7573,6.7327,6.4353,6.5738,6.5505
152,6.2769,6.3127,6.3722,6.6428,6.432,6.4698,7.2575,7.4991,7.2332,6.391,6.7401,6.9462,6.5338,6.5769,6.2318,6.606,6.7867,6.9713,6.0445,6.7918,6.0147,6.4471,5.9812,6.2097,6.412,6.7986,6.1703,5.9548,5.8109,5.927,6.189,6.2919,6.267,6.4253,6.509,6.366,6.109,6.1145,6.0742,6.3403,6.2784,6.3286,5.6374,5.6356,5.6178,5.8333,5.7918,5.9176,6.0567,5.7601,5.9883,6.04,6.1697,6.0785,6.8965,6.9559,6.9405,7.0581,6.9458,6.9459,7.2642,7.0451,7.2266,6.9889,7.4682,7.482,6.3449,6.397,6.4229,6.4631,6.4686,6.4327,6.5919,6.5386,6.5547,6.7675,6.8634,6.9814,6.8931,6.987,6.9026,7.1128,6.9344,6.8107,7.0262,6.9911,6.8406,6.1291,6.1624,6.1805,6.3639,6.3072,6.4101,6.584,6.4349,6.3994,6.6573,6.7629,6.7399,6.4408,6.5785,6.5547
156,6.2801,6.3153,6.3749,6.6494,6.4382,6.4755,7.2576,7.5025,7.2366,6.3953,6.7433,6.9504,6.542,6.5815,6.2405,6.6104,6.7909,6.9784,6.0508,6.798,6.0232,6.4498,5.9842,6.2094,6.4143,6.802,6.1749,5.9608,5.8167,5.9298,6.1958,6.2958,6.2705,6.4289,6.5133,6.3713,6.1143,6.1206,6.0761,6.3452,6.2853,6.3345,5.6422,5.6402,5.6225,5.84,5.7963,5.9221,6.0628,5.7688,5.9923,6.0453,6.175,6.0838,6.9039,6.9609,6.9448,7.062,6.9498,6.951,7.2692,7.0496,7.231,6.9939,7.4731,7.4892,6.3485,6.4009,6.427,6.4684,6.4725,6.4367,6.5965,6.5459,6.5606,6.7748,6.8685,6.9839,6.8985,6.9906,6.9073,7.1163,6.9385,6.8148,7.0293,6.9957,6.8456,6.1333,6.1642,6.1846,6.3698,6.3126,6.4165,6.5895,6.4394,6.4078,6.6635,6.7698,6.7461,6.4449,6.5863,6.5598
160,6.283,6.3172,6.3796,6.6507,6.4435,6.4793,7.2613,7.5068,7.2395,6.4003,6.7478,6.9571,6.5476,6.5866,6.2464,6.6146,6.7945,6.9864,6.0543,6.8,6.0261,6.454,5.9871,6.2101,6.416,6.812,6.1788,5.9653,5.8216,5.933,6.1998,6.3012,6.2766,6.4313,6.5172,6.3754,6.1196,6.1273,6.0814,6.3513,6.2888,6.3381,5.6459,5.6448,5.6246,5.8435,5.8015,5.926,6.0656,5.7713,5.9961,6.0499,6.1811,6.0886,6.91,6.9641,6.9485,7.0661,6.954,6.956,7.2735,7.0532,7.2336,6.9999,7.4785,7.4981,6.3515,6.4045,6.432,6.4732,6.4765,6.4404,6.6015,6.5503,6.5636,6.7807,6.8741,6.9883,6.9037,6.995,6.9119,7.12,6.9441,6.8202,7.0342,6.9973,6.8515,6.1374,6.1686,6.1878,6.3743,6.3183,6.4231,6.5929,6.4417,6.4111,6.6681,6.7757,6.7519,6.449,6.5914,6.5626
164,6.2847,6.3202,6.384,6.6553,6.4491,6.4839,7.2645,7.5104,7.2447,6.405,6.7518,6.9601,6.5513,6.5896,6.254,6.6161,6.7971,6.9887,6.0576,6.8025,6.0233,6.4537,5.9899,6.2107,6.4153,6.8099,6.1827,5.9704,5.8276,5.9364,6.2034,6.3055,6.2804,6.4355,6.5204,6.3793,6.1234,6.1322,6.0857,6.356,6.2936,6.3427,5.6494,5.6487,5.626,5.8492,5.8068,5.9295,6.071,5.7761,5.9998,6.0539,6.1855,6.0921,6.914,6.9691,6.9527,7.0681,6.956,6.9596,7.2774,7.057,7.2373,7.0042,7.4839,7.5048,6.3544,6.4084,6.4363,6.4775,6.4792,6.4436,6.6078,6.5566,6.5688,6.7862,6.8789,6.9944,6.9087,6.9987,6.9156,7.1245,6.9467,6.8244,7.0378,7.001,6.8577,6.1427,6.1702,6.1918,6.3778,6.3232,6.4263,6.5987,6.4432,6.415,6.6734,6.7811,6.7568,6.4531,6.5978,6.5674
168,6.2875,6.3229,6.3875,6.654,6.4529,6.4862,7.2693,7.512,7.2444,6.4083,6.7541,6.9629,6.5577,6.5939,6.2601,6.6182,6.7992,6.9911,6.061,6.8009,6.0314,6.4536,5.9902,6.2133,6.4178,6.8149,6.1862,5.9761,5.8328,5.9387,6.2084,6.3076,6.2856,6.4382,6.5223,6.3829,6.127,6.1369,6.0918,6.3576,6.2964,6.3475,5.6516,5.6512,5.6299,5.8528,5.812,5.9336,6.0757,5.7792,6.0036,6.0589,6.1916,6.0956,6.9188,6.9728,6.9582,7.0739,6.9593,6.9632,7.2795,7.0617,7.2415,7.0081,7.4876,7.5097,6.358,6.4099,6.4387,6.4826,6.4808,6.4462,6.6111,6.5616,6.5718,6.7919,6.884,6.9992,6.9132,7.0026,6.919,7.128,6.9505,6.8272,7.042,7.004,6.8613,6.1468,6.1707,6.1951,6.3813,6.3288,6.4303,6.6031,6.4469,6.4204,6.6759,6.7851,6.7621,6.4568,6.6026,6.5702
172,6.2886,6.3241,6.3929,6.6563,6.4574,6.4911,7.2709,7.5115,7.2502,6.4128,6.754,6.9686,6.5626,6.5981,6.2657,6.6173,6.8012,6.997,6.0669,6.8077,6.0353,6.4586,5.9931,6.2136,6.42,6.815,6.1901,5.9798,5.8365,5.9427,6.2113,6.3112,6.288,6.4396,6.5254,6.3848,6.1298,6.1404,6.0977,6.3617,6.2976,6.3509,5.656,5.6562,5.6304,5.8569,5.8159,5.9368,6.0795,5.7847,6.0056,6.0646,6.1971,6.0984,6.9239,6.977,6.9612,7.0756,6.9631,6.9677,7.2813,7.0669,7.2439,7.0119,7.4928,7.5162,6.3604,6.413,6.4441,6.4868,6.4837,6.4487,6.6149,6.5666,6.5762,6.7962,6.8874,7.0013,6.9175,7.0049,6.9228,7.1289,6.9544,6.8303,7.046,7.0074,6.8667,6.1504,6.1734,6.1978,6.3852,6.3335,6.4332,6.6067,6.449,6.4247,6.6794,6.7894,6.7663,6.4613,6.6079,6.5743
176,6.2911,6.3262,6.3972,6.6579,6.4626,6.4942,7.2721,7.5159,7.2552,6.4164,6.7613,6.9677,6.5663,6.602,6.2703,6.6217,6.8025,7.0003,6.0684,6.8096,6.0308,6.4571,5.9955,6.2181,6.4207,6.8178,6.1928,5.9838,5.8412,5.9446,6.2165,6.3142,6.2902,6.4424,6.5279,6.3881,6.1302,6.1467,6.102,6.3657,6.3004,6.3547,5.6584,5.6586,5.632,5.8606,5.8189,5.9408,6.083,5.788,6.0091,6.0696,6.202,6.1012,6.9291,6.9802,6.9635,7.0783,6.9641,6.9716,7.2843,7.0704,7.2459,7.0184,7.495,7.5223,6.3644,6.415,6.4473,6.4901,6.4849,6.4511,6.6175,6.5707,6.5802,6.8012,6.8922,7.0051,6.9207,7.0082,6.9257,7.1318,6.9573,6.8329,7.0496,7.0106,6.8703,6.1582,6.1757,6.2014,6.3883,6.3407,6.4373,6.6105,6.4518,6.4297,6.6835,6.794,6.7704,6.4652,6.6122,6.5785
180,6.2923,6.3275,6.399,6.6633,6.4661,6.4972,7.2718,7.516,7.2559,6.4193,6.7634,6.9727,6.5706,6.6049,6.2766,6.6234,6.8059,7.0009,6.0683,6.8073,6.0403,6.4532,5.9964,6.2159,6.4271,6.8225,6.1953,5.9881,5.8443,5.9478,6.2201,6.3173,6.2933,6.4443,6.5292,6.3914,6.1319,6.1496,6.1079,6.3696,6.304,6.3593,5.66,5.6634,5.6343,5.8645,5.8238,5.9428,6.086,5.7909,6.0112,6.0743,6.2068,6.1026,6.9331,6.9835,6.9674,7.0819,6.9686,6.9754,7.2873,7.0733,7.2494,7.0208,7.5006,7.5279,6.3658,6.4171,6.4504,6.493,6.4864,6.453,6.6184,6.5747,6.5852,6.8053,6.8959,7.0079,6.9257,7.0121,6.929,7.1348,6.9616,6.8362,7.0538,7.0118,6.8766,6.1625,6.1767,6.2037,6.3924,6.348,6.4409,6.6128,6.4544,6.4359,6.6879,6.798,6.7744,6.4672,6.6173,6.5791
184,6.2941,6.3287,6.4033,6.6649,6.4706,6.5013,7.2767,7.5179,7.258,6.4235,6.7663,6.9746,6.5754,6.6073,6.2813,6.6257,6.8071,7.0007,6.0719,6.811,6.0383,6.4578,5.9934,6.2145,6.4264,6.8235,6.1998,5.9925,5.8495,5.9503,6.2241,6.3209,6.2979,6.4472,6.5301,6.3932,6.1315,6.1525,6.1139,6.3732,6.3088,6.3634,5.6633,5.666,5.6376,5.8672,5.8267,5.9455,6.0884,5.7939,6.0141,6.0793,6.2113,6.106,6.937,6.9872,6.9713,7.0843,6.9734,6.9766,7.2917,7.077,7.2519,7.0225,7.5042,7.5337,6.3685,6.4195,6.4537,6.4973,6.487,6.4549,6.6237,6.5777,6.5866,6.8103,6.8994,7.0118,6.9284,7.0143,6.9315,7.1365,6.9648,6.8387,7.0568,7.0119,6.8801,6.1669,6.1788,6.2064,6.3965,6.3547,6.4444,6.6168,6.4577,6.4406,6.6921,6.8023,6.7785,6.4712,6.6194,6.5829
